Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0.0298267
2.01	0.177446
2.02	0.0580147
2.03	0.100501
2.04	0.139289
2.05	0.135703
2.06	0.210058
2.07	0.138848
2.08	0.148984
2.09	0.104679
2.1	0.0228992
2.11	0.0396826
2.12	-0.0511067
2.13	-0.0225814
2.14	-0.0411103
2.15	-0.0887465
2.16	-0.0364652
2.17	-0.105113
2.18	-0.0652478
2.19	-0.067239
2.2	-0.0986497
2.21	-0.0414261
2.22	-0.103446
2.23	-0.0566769
2.24	-0.0627474
2.25	-0.0965889
2.26	-0.0338207
2.27	-0.0888157
2.28	-0.0348252
2.29	-0.0452687
2.3	-0.0837542
2.31	-0.0250782
2.32	-0.0926697
2.33	-0.0432531
2.34	-0.0373128
2.35	-0.0571925
2.36	-0.00505486
2.37	-0.0803892
2.38	-0.0424277
2.39	-0.0633005
2.4	-0.0937259
2.41	-0.0257194
2.42	-0.0862691
2.43	-0.0400297
2.44	-0.04889
2.45	-0.0735947
2.46	-0.0162713
2.47	-0.0885235
2.48	-0.0434291
2.49	-0.0537313
2.5	-0.0692147
2.51	0.00169815
2.52	-0.0458732
2.53	0.0226082
2.54	0.028106
2.55	0.0220919
2.56	0.0824703
2.57	-0.00231394
2.58	0.0203729
2.59	-0.0256206
2.6	-0.0782691
2.61	-0.0375336
2.62	-0.103762
2.63	-0.0291807
2.64	0.0564083
2.65	0.233811
2.66	0.408564
2.67	0.201593
2.68	-0.000765263
2.69	-0.140013
2.7	-0.140838
2.71	-0.0389424
2.72	-0.0806209
2.73	-0.0153964
2.74	-0.0405982
2.75	-0.136772
2.76	-0.0435802
2.77	-0.0515457
2.78	0.0112172
2.79	0.024749
2.8	-0.00905689
2.81	0.0528878
2.82	-0.000671167
2.83	0.0504594
2.84	0.0693874
2.85	0.0551835
2.86	0.156997
2.87	0.127724
2.88	0.189756
2.89	0.209201
2.9	0.17432
2.91	0.223292
2.92	0.133531
2.93	0.137863
2.94	0.102764
2.95	0.022874
2.96	0.0500927
2.97	-0.0182939
2.98	0.0174555
2.99	-0.00181137
3	-0.0542033
3.01	-0.00178337
3.02	-0.070049
3.03	-0.0267834
3.04	-0.0244595
3.05	-0.0597245
3.06	0.00217678
3.07	-0.0575274
3.08	-0.0116995
3.09	-0.0118533
3.1	-0.0463791
3.11	0.00650412
3.12	-0.0626159
3.13	-0.0167123
3.14	-0.0145718
3.15	-0.0401097
3.16	0.0249241
3.17	-0.0402025
3.18	0.00121772
3.19	-0.00837338
3.2	-0.0500024
3.21	0.00199389
3.22	-0.0627113
3.23	-0.018421
3.24	-0.025149
3.25	-0.0560738
3.26	-0.00471289
3.27	-0.0726724
3.28	-0.0243875
3.29	-0.0332479
3.3	-0.0670723
3.31	-0.0167269
3.32	-0.0858685
3.33	-0.0339278
3.34	-0.0365985
3.35	-0.0691844
3.36	-0.0153859
3.37	-0.0775623
3.38	-0.0186462
3.39	-0.00743439
3.4	-0.0142751
3.41	0.0632823
3.42	0.0143407
3.43	0.0544055
3.44	0.00997402
3.45	-0.0508028
3.46	-0.0214534
3.47	-0.106239
3.48	-0.0569725
3.49	-0.0633818
3.5	-0.0409606
3.51	0.163945
3.52	0.294898
3.53	0.370362
3.54	0.130275
3.55	-0.128732
3.56	-0.129689
3.57	-0.14395
3.58	-0.045225
3.59	-0.0448205
3.6	-0.0629721
3.61	-0.00287695
3.62	-0.0685439
3.63	-0.0207323
3.64	-0.101682
3.65	-0.214461
3.66	-0.0744515
3.67	-0.046691
3.68	0.0284492
3.69	0.0431251
3.7	0.00172928
3.71	0.0822622
3.72	0.0537962
3.73	0.121484
3.74	0.155141
3.75	0.142204
3.76	0.224308
3.77	0.169543
3.78	0.194561
3.79	0.167501
3.8	0.0862093
3.81	0.112121
3.82	0.0165477
3.83	0.0252022
3.84	0.00342846
3.85	-0.0531514
3.86	-9.19417e-05
3.87	-0.0642779
3.88	-0.029195
3.89	-0.0325863
3.9	-0.0749111
3.91	-0.01293
3.92	-0.0693449
3.93	-0.0262008
3.94	-0.0355078
3.95	-0.0752198
3.96	-0.00362627
3.97	-0.0622051
3.98	-0.0152254
3.99	-0.0113869
4	-0.0541185
4.01	0.00121065
4.02	-0.0621088
4.03	-0.0181158
4.04	-0.0203666
4.05	-0.0578197
4.06	0.000373677
4.07	-0.066988
4.08	-0.023235
4.09	-0.0299277
4.1	-0.068884
4.11	-0.0164364
4.12	-0.0789514
4.13	-0.0254469
4.14	-0.0324536
4.15	-0.0749457
4.16	-0.0157094
4.17	-0.0760653
4.18	-0.036122
4.19	-0.0437875
4.2	-0.0838218
4.21	-0.0209974
4.22	-0.0694008
4.23	-0.0217206
4.24	-0.0308632
4.25	-0.0644509
4.26	-0.00515243
4.27	-0.0656061
4.28	0.00152549
4.29	0.0212123
4.3	0.012036
4.31	0.0797065
4.32	0.00833846
4.33	0.0427959
4.34	0.00677682
4.35	-0.0553357
4.36	-0.0245314
4.37	-0.0998678
4.38	-0.0518855
4.39	-0.0386284
4.4	0.0606283
4.41	0.322266
4.42	0.332551
4.43	0.208198
