Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.041936
2.01	-0.59878
2.02	-1.33304
2.03	-1.81387
2.04	-1.93034
2.05	-1.91893
2.06	-1.91477
2.07	-1.89494
2.08	-1.90999
2.09	-1.81047
2.1	-1.78407
2.11	-1.74834
2.12	-1.3274
2.13	-0.847212
2.14	-0.673395
2.15	-0.865333
2.16	-0.959204
2.17	-0.897226
2.18	-1.09156
2.19	-1.1203
2.2	-1.00762
2.21	-0.918597
2.22	-0.794572
2.23	-0.835628
2.24	-0.881228
2.25	-0.857704
2.26	-0.801469
2.27	-0.758862
2.28	-0.901207
2.29	-0.967496
2.3	-0.934605
2.31	-0.848091
2.32	-0.798491
2.33	-0.817598
2.34	-0.842645
2.35	-0.851632
2.36	-0.674149
2.37	-0.485348
2.38	-0.580614
2.39	-0.47954
2.4	-0.349385
2.41	-0.418199
2.42	-0.363152
2.43	-0.240408
2.44	-0.0890087
2.45	-0.162713
2.46	-0.12171
2.47	-0.0341907
2.48	-0.0804547
2.49	0.0230243
2.5	0.155798
2.51	0.255078
2.52	0.362618
2.53	0.447801
2.54	0.526921
2.55	0.702108
2.56	1.30168
2.57	1.84425
2.58	1.67207
2.59	1.28534
2.6	1.13804
2.61	1.12361
2.62	1.0635
2.63	0.891395
2.64	0.875047
2.65	0.896216
2.66	0.86139
2.67	0.881344
2.68	0.804773
2.69	0.807921
2.7	0.837784
2.71	0.730323
2.72	0.570302
2.73	0.439337
2.74	0.400423
2.75	0.342419
2.76	0.309343
2.77	0.35727
2.78	0.386719
2.79	0.375246
2.8	0.314421
2.81	0.358251
2.82	0.406205
2.83	0.313613
2.84	0.210409
2.85	0.0755041
2.86	0.125312
2.87	0.193228
2.88	0.143354
2.89	0.03146
2.9	-0.165785
2.91	-0.30622
2.92	-0.226257
2.93	-0.264077
2.94	-0.168383
2.95	-0.128071
2.96	-0.219409
2.97	-0.229483
2.98	-0.0667805
2.99	0.361975
3	0.344849
3.01	-0.0911735
3.02	-0.506524
3.03	-0.860548
3.04	-0.929908
3.05	-0.954438
3.06	-0.987693
3.07	-0.961283
3.08	-1.02948
3.09	-0.946923
3.1	-0.778389
3.11	-0.669678
3.12	-0.556054
3.13	-0.398954
3.14	-0.247034
3.15	-0.13881
3.16	-0.0922816
3.17	-0.00852491
3.18	0.0998012
3.19	0.131622
3.2	0.10357
3.21	0.197519
3.22	0.352991
3.23	0.405297
3.24	0.490595
3.25	0.528293
3.26	0.54001
3.27	0.597743
3.28	0.669243
3.29	0.75304
3.3	0.675414
3.31	0.628037
3.32	0.633146
3.33	0.560488
3.34	0.650348
3.35	0.470365
3.36	0.172296
3.37	0.167184
3.38	0.19894
3.39	0.187119
3.4	0.183189
3.41	0.401951
3.42	0.827527
3.43	0.896738
3.44	0.702534
3.45	0.461043
3.46	0.296721
3.47	0.223699
3.48	0.227482
3.49	0.304798
3.5	0.272688
3.51	0.187745
3.52	0.141196
3.53	0.0586059
3.54	0.0498031
3.55	-0.0711128
3.56	-0.234589
3.57	-0.18841
3.58	-0.277335
3.59	-0.358168
3.6	-0.39388
3.61	-0.361726
3.62	-0.255091
3.63	-0.182088
3.64	-0.123277
3.65	-0.0894665
3.66	0.0190872
3.67	0.0941797
3.68	0.0125568
3.69	0.0758134
3.7	0.131069
3.71	0.151157
3.72	0.285911
3.73	0.30842
3.74	0.26004
3.75	0.161118
3.76	0.0851847
3.77	0.0973617
3.78	0.017413
3.79	0.0126452
3.8	0.0404113
3.81	-0.0283391
3.82	-0.0155021
3.83	0.160908
3.84	0.710668
3.85	0.930548
3.86	0.579346
3.87	0.210923
3.88	0.00198544
3.89	-0.122922
3.9	-0.24849
3.91	-0.239217
3.92	-0.128279
3.93	-0.17464
3.94	-0.198279
3.95	-0.220443
3.96	-0.288891
3.97	-0.293255
3.98	-0.202599
3.99	-0.128321
4	-0.181243
4.01	-0.141368
4.02	-0.0971619
4.03	-0.133578
4.04	-0.00822412
4.05	0.0976961
4.06	0.0925233
4.07	0.0751708
4.08	0.0893631
4.09	0.145974
4.1	0.138917
4.11	0.148476
4.12	0.192016
4.13	0.18082
4.14	0.259911
4.15	0.244
4.16	0.167197
4.17	0.207101
4.18	0.0820425
4.19	-0.0225349
4.2	-0.0207541
4.21	-0.019682
4.22	-0.0470914
4.23	-0.167091
4.24	-0.172359
4.25	0.00882265
4.26	0.456975
4.27	0.797131
4.28	0.513529
4.29	0.0248164
4.3	-0.29218
4.31	-0.380938
4.32	-0.390205
4.33	-0.408362
4.34	-0.340694
4.35	-0.383726
4.36	-0.446178
4.37	-0.402516
4.38	-0.394504
4.39	-0.420673
4.4	-0.458862
4.41	-0.483681
4.42	-0.412256
4.43	-0.452497
4.44	-0.446402
4.45	-0.431497
4.46	-0.368697
4.47	-0.327872
4.48	-0.403078
4.49	-0.267226
4.5	-0.13701
4.51	-0.154312
4.52	-0.0914004
4.53	0.026129
4.54	0.111952
4.55	0.046439
4.56	0.1043
4.57	0.30526
4.58	0.25611
4.59	0.175881
4.6	0.104828
4.61	0.0689282
4.62	0.0684258
