Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.0102928
2.01	-0.0807374
2.02	-0.041367
2.03	-0.0289751
2.04	-0.00952944
2.05	0.0103065
2.06	-0.0015026
2.07	0.0149363
2.08	-0.0105614
2.09	-0.0205338
2.1	-0.0219154
2.11	-0.0354349
2.12	-0.0179079
2.13	-0.0418682
2.14	-0.0242215
2.15	-0.00505907
2.16	-0.0134831
2.17	0.0191176
2.18	0.0228721
2.19	0.0550316
2.2	0.0913783
2.21	0.0879629
2.22	0.112876
2.23	0.092854
2.24	0.0905729
2.25	0.0889488
2.26	0.0725716
2.27	0.0910803
2.28	0.0703242
2.29	0.0882895
2.3	0.120366
2.31	0.119532
2.32	0.134263
2.33	0.10724
2.34	0.105533
2.35	0.101992
2.36	0.0835768
2.37	0.108327
2.38	0.111075
2.39	0.148274
2.4	0.167468
2.41	0.135611
2.42	0.100301
2.43	0.00638688
2.44	-0.0552387
2.45	-0.096402
2.46	-0.138569
2.47	-0.134912
2.48	-0.156754
2.49	-0.149241
2.5	-0.168774
2.51	-0.209456
2.52	-0.0170946
2.53	0.444283
2.54	0.905482
2.55	0.798162
2.56	0.332484
2.57	0.0203367
2.58	-0.131066
2.59	-0.155599
2.6	-0.155447
2.61	-0.17887
2.62	-0.160043
2.63	-0.17477
2.64	-0.165853
2.65	-0.161655
2.66	-0.173758
2.67	-0.151758
2.68	-0.172303
2.69	-0.167098
2.7	-0.154975
2.71	-0.157764
2.72	-0.126522
2.73	-0.134744
2.74	-0.111455
2.75	-0.0859392
2.76	-0.0827895
2.77	-0.0409024
2.78	-0.0432286
2.79	-0.0406205
2.8	-0.0517037
2.81	-0.0776997
2.82	-0.0642887
2.83	-0.0830677
2.84	-0.0688559
2.85	-0.0590942
2.86	-0.0749887
2.87	-0.0511622
2.88	-0.0639541
2.89	-0.0532195
2.9	-0.0496454
2.91	-0.0536482
2.92	-0.00223268
2.93	-0.000478004
2.94	0.0246646
2.95	0.0600787
2.96	0.0632574
2.97	0.0612796
2.98	-0.00704868
2.99	-0.0542759
3	-0.0957835
3.01	-0.134262
3.02	-0.129541
3.03	-0.16724
3.04	-0.16055
3.05	-0.146456
3.06	-0.181797
3.07	-0.176301
3.08	0.00260435
3.09	0.522666
3.1	0.974466
3.11	0.818393
3.12	0.384433
3.13	0.0345113
3.14	-0.0887906
3.15	-0.117524
3.16	-0.138593
3.17	-0.115022
3.18	-0.127812
3.19	-0.111907
3.2	-0.0911908
3.21	-0.093694
3.22	-0.0750659
3.23	-0.0893149
3.24	-0.066973
3.25	-0.056979
3.26	-0.0997243
3.27	-0.0933198
3.28	-0.0967931
3.29	-0.0582608
3.3	-0.0419694
3.31	-0.0424027
3.32	-0.0105815
3.33	-0.0126193
3.34	0.0158201
3.35	0.0131746
3.36	-0.0173327
3.37	-0.0171543
3.38	-0.0481724
3.39	-0.0443317
3.4	-0.059497
3.41	-0.0661213
3.42	-0.0377234
3.43	-0.0426136
3.44	-0.0175586
3.45	-0.0156647
3.46	-0.0296375
3.47	-0.0171005
3.48	-0.028231
3.49	0.0115934
3.5	0.0350944
3.51	0.0651933
3.52	0.117754
3.53	0.094707
3.54	0.0767567
3.55	0.0191541
3.56	-0.0503776
3.57	-0.0851426
3.58	-0.133584
3.59	-0.11662
3.6	-0.114464
3.61	-0.13321
3.62	-0.130602
3.63	-0.185622
3.64	-0.131537
3.65	0.187062
3.66	0.769798
3.67	1.06452
3.68	0.703622
3.69	0.248547
3.7	-0.0139404
3.71	-0.111679
3.72	-0.113155
3.73	-0.130665
3.74	-0.113583
3.75	-0.120731
3.76	-0.130371
3.77	-0.104653
3.78	-0.11758
3.79	-0.102109
3.8	-0.108243
3.81	-0.110267
3.82	-0.0812973
3.83	-0.0990647
3.84	-0.0803538
3.85	-0.0825955
3.86	-0.0907292
3.87	-0.0604317
3.88	-0.0541076
3.89	-0.00458932
3.9	0.0113623
3.91	0.00553402
3.92	0.0181926
3.93	-0.0122841
3.94	-0.013097
3.95	-0.0361554
3.96	-0.0547464
3.97	-0.0396146
3.98	-0.0607404
3.99	-0.0388814
4	-0.0365591
4.01	-0.0500314
4.02	-0.0325378
4.03	-0.0411342
4.04	-0.0175532
4.05	-0.0221205
4.06	-0.0222946
4.07	0.0113578
4.08	0.016624
4.09	0.0560075
4.1	0.0773715
4.11	0.0916813
4.12	0.104002
4.13	0.0511887
4.14	0.00996662
4.15	-0.0601204
4.16	-0.10641
4.17	-0.103788
4.18	-0.137637
4.19	-0.12626
4.2	-0.132436
4.21	-0.159086
4.22	-0.171933
4.23	-0.0518696
4.24	0.442196
4.25	0.961793
4.26	0.918516
4.27	0.480001
4.28	0.0809084
4.29	-0.0676519
4.3	-0.115129
4.31	-0.121078
4.32	-0.0985011
4.33	-0.118402
4.34	-0.0997141
4.35	-0.108568
4.36	-0.107882
4.37	-0.081429
4.38	-0.101888
4.39	-0.085815
4.4	-0.089693
4.41	-0.0885447
4.42	-0.0720861
4.43	-0.0935149
4.44	-0.065825
4.45	-0.0557689
4.46	-0.0488036
4.47	-0.0201803
