Time	EMG
0	0
0.001	0
0.002	0
0.003	0
0.004	0
0.005	0
0.006	0
0.007	0
0.008	0
0.009	0
0.01	0
0.011	0
0.012	0
0.013	0
0.014	0
0.015	0
0.016	0
0.017	0
0.018	0
0.019	0
0.02	0
0.021	0
0.022	0
0.023	0
0.024	0
0.025	0
0.026	0
0.027	0
0.028	0
0.029	0
0.03	0
0.031	0
0.032	0
0.033	0
0.034	0
0.035	0
0.036	0
0.037	0
0.038	0
0.039	0
0.04	0
0.041	0
0.042	0
0.043	0
0.044	0
0.045	0
0.046	0
0.047	0
0.048	0
0.049	0
0.05	0
0.051	-0.0569188
0.052	-0.036956
0.053	0.00216713
0.054	0.0436209
0.055	0.0590121
0.056	-0.00731507
0.057	-0.060124
0.058	-0.00258545
0.059	0.0555196
0.06	0.0396047
0.061	-0.0345323
0.062	-0.104395
0.063	-0.099234
0.064	0.0476328
0.065	0.189111
0.066	0.100434
0.067	-0.0721051
0.068	-0.129467
0.069	-0.0530274
0.07	0.042728
0.071	0.0864559
0.072	0.0274636
0.073	-0.0971952
0.074	-0.0754875
0.075	0.0431559
0.076	0.102154
0.077	0.0525147
0.078	-0.0494206
0.079	-0.100141
0.08	-0.0497542
0.081	0.0928719
0.082	0.133447
0.083	-0.000157249
0.084	-0.123896
0.085	-0.0980981
0.086	0.00727002
0.087	0.0957746
0.088	0.099825
0.089	-0.0117337
0.09	-0.116886
0.091	-0.0545042
0.092	0.0502473
0.093	0.0878263
0.094	0.022797
0.095	-0.06105
0.096	-0.0851657
0.097	-0.0139796
0.098	0.111632
0.099	0.089644
0.1	-0.0369814
0.101	-0.108893
0.102	-0.0600859
0.103	0.0255994
0.104	0.0902339
0.105	0.0734333
0.106	-0.0429558
0.107	-0.105047
0.108	-0.0225475
0.109	0.0552619
0.11	0.0623536
0.111	0.00872831
0.112	-0.0575171
0.113	-0.07377
0.114	0.0171627
0.115	0.119357
0.116	0.0508375
0.117	-0.0704099
0.118	-0.101509
0.119	-0.0347634
0.12	0.0522756
0.121	0.0902947
0.122	0.0449398
0.123	-0.0792214
0.124	-0.0833918
0.125	0.0206385
0.126	0.0800471
0.127	0.0418297
0.128	-0.0402024
0.129	-0.0919793
0.13	-0.0568276
0.131	0.0799325
0.132	0.130537
0.133	0.0174445
0.134	-0.0983611
0.135	-0.0896866
0.136	-0.0024813
0.137	0.0694339
0.138	0.0802233
0.139	-0.00228314
0.14	-0.0991843
0.141	-0.0515287
0.142	0.0480306
0.143	0.0790706
0.144	0.0268402
0.145	-0.0583452
0.146	-0.0863869
0.147	-0.0197777
0.148	0.103483
0.149	0.0955056
0.15	-0.0253373
0.151	-0.101408
0.152	-0.0651582
0.153	0.0248478
0.154	0.082962
0.155	0.0640604
0.156	-0.0475857
0.157	-0.0995433
0.158	-0.020848
0.159	0.0771374
0.16	0.0765951
0.161	-0.00268578
0.162	-0.076951
0.163	-0.082397
0.164	0.0152017
0.165	0.117067
0.166	0.061271
0.167	-0.0617654
0.168	-0.102725
0.169	-0.0296151
0.17	0.0617919
0.171	0.0970374
0.172	0.0377811
0.173	-0.0987855
0.174	-0.0988238
0.175	0.0182258
0.176	0.0818874
0.177	0.055415
0.178	-0.0127986
0.179	-0.0837772
0.18	-0.0713524
0.181	0.0735676
0.182	0.132404
0.183	0.00928998
0.184	-0.111459
0.185	-0.0963983
0.186	0.00805145
0.187	0.0946893
0.188	0.0953774
0.189	-0.0130992
0.19	-0.126867
0.191	-0.0684283
0.192	0.0505448
0.193	0.0942693
0.194	0.0373034
0.195	-0.0454923
0.196	-0.0804297
0.197	-0.0177666
0.198	0.0996575
0.199	0.070642
0.2	-0.0556931
0.201	-0.116435
0.202	-0.0499572
0.203	0.0556848
0.204	0.112502
0.205	0.0771627
0.206	-0.0610926
0.207	-0.122083
0.208	-0.0321785
0.209	0.0612574
0.21	0.0698025
0.211	0.00292628
0.212	-0.0658363
0.213	-0.076993
0.214	0.035644
0.215	0.145173
0.216	0.0465563
0.217	-0.0948244
0.218	-0.120879
0.219	-0.0274542
0.22	0.0774345
0.221	0.113925
0.222	0.0424693
0.223	-0.111754
0.224	-0.110268
0.225	0.0171644
0.226	0.0969003
0.227	0.0650983
0.228	-0.0315713
0.229	-0.0915141
0.23	-0.0545122
0.231	0.0851464
0.232	0.133334
0.233	-0.00263604
0.234	-0.131835
0.235	-0.0983392
0.236	0.0164947
0.237	0.105026
0.238	0.10654
0.239	-0.0114398
0.24	-0.139099
0.241	-0.0725457
0.242	0.0616102
0.243	0.100248
0.244	0.026022
0.245	-0.0638637
0.246	-0.086019
0.247	-0.0162483
0.248	0.119981
0.249	0.0887227
0.25	-0.0499615
0.251	-0.122695
0.252	-0.0517095
0.253	0.0514647
0.254	0.100827
0.255	0.0625186
0.256	-0.0655075
0.257	-0.121124
0.258	-0.0160781
0.259	0.0859326
0.26	0.0774328
0.261	-0.00738431
0.262	-0.0760462
0.263	-0.081822
0.264	0.0234437
0.265	0.137423
0.266	0.058437
0.267	-0.0806866
0.268	-0.11255
0.269	-0.029667
0.27	0.0587133
0.271	0.100187
0.272	0.0492736
0.273	-0.0922447
0.274	-0.11042
0.275	0.00883242
0.276	0.106312
0.277	0.0669899
0.278	-0.0352081
0.279	-0.0984593
0.28	-0.0646965
0.281	0.0759596
0.282	0.122705
0.283	0.00856758
0.284	-0.093532
0.285	-0.0845625
0.286	0.00457596
0.287	0.0800991
0.288	0.0844173
0.289	-0.0123553
0.29	-0.118468
0.291	-0.0613977
0.292	0.0559595
0.293	0.100251
0.294	0.03405
0.295	-0.058291
0.296	-0.102251
0.297	-0.028473
0.298	0.111765
0.299	0.0965673
0.3	-0.0257307
0.301	-0.109841
0.302	-0.067824
0.303	0.0309847
0.304	0.101745
0.305	0.0797571
0.306	-0.0568434
0.307	-0.118285
0.308	-0.0221778
0.309	0.0649038
0.31	0.0712138
0.311	-0.00126225
0.312	-0.0655882
0.313	-0.0691981
0.314	0.025808
0.315	0.124473
0.316	0.0611336
0.317	-0.0700306
0.318	-0.111656
0.319	-0.03767
0.32	0.0474419
0.321	0.0873465
0.322	0.0392359
0.323	-0.0692213
0.324	-0.0771949
0.325	0.010763
0.326	0.0711975
0.327	0.0490888
0.328	-0.0196676
0.329	-0.0636772
0.33	-0.0540946
0.331	0.0321903
0.332	0.0857943
0.333	0.0226491
0.334	-0.0607075
0.335	-0.0666602
0.336	-0.00287507
0.337	0.0532925
0.338	0.0639258
0.339	0.000110102
0.34	-0.0795679
0.341	-0.040463
0.342	0.0330782
0.343	0.0563906
0.344	0.0213947
0.345	-0.0347421
0.346	-0.0617429
0.347	-0.024282
0.348	0.0616143
0.349	0.0695155
0.35	-0.00112075
0.351	-0.0646501
0.352	-0.051921
0.353	0.00869153
0.354	0.0501847
0.355	0.0553385
0.356	-0.0143925
0.357	-0.0767203
0.358	-0.033092
0.359	0.0401521
0.36	0.0560196
0.361	0.0103406
0.362	-0.0449969
0.363	-0.0520715
0.364	0.0146527
0.365	0.0930347
0.366	0.043316
0.367	-0.0701206
0.368	-0.106926
0.369	-0.0281877
0.37	0.0646287
0.371	0.0967355
0.372	0.0488248
0.373	-0.0662757
0.374	-0.0831859
0.375	0.00188417
0.376	0.0553935
0.377	0.0325999
0.378	-0.0296824
0.379	-0.0821314
0.38	-0.0470925
0.381	0.1017
0.382	0.145979
0.383	0.00122178
0.384	-0.118501
0.385	-0.108911
0.386	-0.0063556
0.387	0.0804211
0.388	0.101267
0.389	0.0155403
0.39	-0.103396
0.391	-0.0717409
0.392	0.0370593
0.393	0.0816172
0.394	0.0345449
0.395	-0.0517429
0.396	-0.0830922
0.397	-0.025778
0.398	0.0997721
0.399	0.0962628
0.4	-0.0205928
0.401	-0.096139
0.402	-0.0606748
0.403	0.0256887
0.404	0.0791128
0.405	0.057828
0.406	-0.0521596
0.407	-0.111322
0.408	-0.0188142
0.409	0.0799108
0.41	0.0837288
0.411	0.0182677
0.412	-0.0619798
0.413	-0.0880669
0.414	-0.00819517
0.415	0.0940659
0.416	0.0508939
0.417	-0.0393614
0.418	-0.0624908
0.419	-0.0187289
0.42	0.0185332
0.421	0.0523554
0.422	0.0246391
0.423	-0.0517956
0.424	-0.0460715
0.425	0.0276815
0.426	0.0550481
0.427	0.0294556
0.428	-0.0287657
0.429	-0.0699943
0.43	-0.0561816
0.431	0.0375588
0.432	0.0871805
